"Field_EdgeCropLeft","Left","NOT_LOCALIZED","NOT_LOCALIZED","NOT_LOCALIZED","NOT_LOCALIZED","NOT_LOCALIZED","NOT_LOCALIZED","NOT_LOCALIZED","NOT_LOCALIZED","NOT_LOCALIZED","NOT_LOCALIZED","NOT_LOCALIZED","","","","","","","","","","","","",""
"Field_EdgeCropRight","Right","NOT_LOCALIZED","NOT_LOCALIZED","NOT_LOCALIZED","NOT_LOCALIZED","NOT_LOCALIZED","NOT_LOCALIZED","NOT_LOCALIZED","NOT_LOCALIZED","NOT_LOCALIZED","NOT_LOCALIZED","NOT_LOCALIZED","","","","","","","","","","","","",""
"Field_EdgeCropTop","Top","NOT_LOCALIZED","NOT_LOCALIZED","NOT_LOCALIZED","NOT_LOCALIZED","NOT_LOCALIZED","NOT_LOCALIZED","NOT_LOCALIZED","NOT_LOCALIZED","NOT_LOCALIZED","NOT_LOCALIZED","NOT_LOCALIZED","","","","","","","","","","","","",""
"Field_EdgeCropBottom","Bottom","NOT_LOCALIZED","NOT_LOCALIZED","NOT_LOCALIZED","NOT_LOCALIZED","NOT_LOCALIZED","NOT_LOCALIZED","NOT_LOCALIZED","NOT_LOCALIZED","NOT_LOCALIZED","NOT_LOCALIZED","NOT_LOCALIZED","","","","","","","","","","","","",""
"Field_IsolationMode","Isolation Mode","격리 모드","分離モード","隔離模式","隔离模式","Mode Isolation","Modalità isolamento","Isolationsmodus","Modo aislamiento","Режим изоляции","Modo Isolação","وضع العزل","","","","","","","","","","","","",""
"Field_Chromakey","Chromakeying","크로마키","クロマキー","色度鍵控","色度键控","Incrustation couleurs","Effettuare il chromakey","Farbbasierte Bildfreistellung","Croma","Цветовая рирпроекция","Chroma Key","تقنية مفتاح الكروما","","","","","","","","","","","","",""
"Field_ChromaSpill","Fade Falloff","유출 페더","流出フェザリング","色度键範圍","色度键范围","Réduire Recul","Dissolvenza","Verblassungsabfall","Disminución de la atenuación","Обесцвечивание похожих цветов","Esmaecimento em Queda","هبوط يبهت اللون","","","","","","","","","","","","",""
"Field_ChromaDesaturationBand","Desaturation Tolerance","탈채도 허용차","不飽和耐性","飽和度下降容忍度","饱和度容差","Tolérance désaturation","Tolleranza desaturazione","Entsättigungstoleranz","Tolerancia a la desaturación","Допустимое разбавление","Tolerância da Dessaturação","تفاوت التشبع","","","","","","","","","","","","",""
"Field_ChromaDesaturationFalloff","Desaturation Falloff","탈채도 폴오프","不飽和化の減衰","飽和度下降幅度","饱和度下降幅度","Désaturation Recul","Riduzione desaturazione","Entsättigungsabfall","Disminución de la desaturación","Степень обесцвечивания","Dessaturação em Queda","هبوط عدم الإشباع","","","","","","","","","","","","",""
"Tooltip_StaticButTracked","Static Subtraction mode requires a stationary background, you may want to disable tracking","정적 빼기 모드는 고정 된 배경이 필요합니다, 당신은 추적을 비활성화 할 수 있습니다","静的減算モードが静止している背景を必要とし、あなたが追跡を無効にしたい場合があります","靜態消除模式需要穩定的背景，您可能需要禁用跟踪","静态消除模式需要稳定的背景，您可能需要禁用跟踪","Le mode de Soustraction statique nécessite un fond stationnaire, désactivez éventuellement le suivi","La modalità sottrazione statica richiede uno sfondo stabile, volendo si può disabilitare il rilevamento","Der statische Subtraktionsmodus erfordert einen stationären Hintergrund. Tracking sollte dafür deaktiviert werden.","El modo de sustracción estática necesita un fondo fijo, quizás deberías inhabilitar el seguimiento.","Для режима статического удаления требуется неподвижный фон, стоит отключить отслеживание","O modo Subtração Estática requer um plano de fundo estacionário. Desative o rastreamento","يتطلب وضع الاقتطاع الثابت خلفية ثابتة، لذا قد ترغب في تعطيل التتبع.","","","","","","","","","","","","",""
"Field_StaticCalibration","Background Calibration","배경 교정","背景キャリブレーション","背景校準","背景校准","Calibration Fond","Calibrazione sfondo","Hintergrund-Kalibrierung","Calibración del fondo","Калибровка фона","Calibração do P. de Fundo","معايرة الخلفية","","","","","","","","","","","","",""
"Field_StaticCalibDuration","Duration (s)","기간 (들)","所要時間（秒）","持續時間（秒）","持续时间（秒）","Durée","Durata (s)","Dauer (s)","Duración (s)","Продолжительность (сек.)","Duração (s)","المدة (ثانية)","","","","","","","","","","","","",""
"Field_RunStaticCalibration","Capture BG","BG 캡처","BGをキャプチャ","捕獲背景","捕获背景","Capturer Fond","Acquisizione sfondo","Capture BG","Captura de fondo","Захват фона","Capturar P. de Fundo","التقاط الخلفية","","","","","","","","","","","","",""
"Title_PlacementSettings","Camera Tracking","카메라 트래킹","カメラのトラッキング","相機感應","相机跟踪","Suivi caméra","Rilevamento videocamera","Kamera-Tracking","Seguimiento de cámara","Отслеживание камеры","Rastreio da Câmera","تتبع الكاميرا","","","","","","","","","","","","",""
"Field_TrackedByController","Tracked By","추적","によって追跡","跟踪","跟踪","Suivi par","Rilevato da","Verfolgt von","Seguido por","Отслеживается","Rastreado por","تتبع بواسطة","","","","","","","","","","","","",""
"Field_FixedPosition","Position","위치","ポジション","位置","位置","Position","Posizione","Position","Posición","Положение","Posição","الموضع","","","","","","","","","","","","",""
"Field_FixedRotation","Rotation","회전","回転","旋轉","旋转","Rotation","Rotazione","Drehung","Rotación","Вращение","Rotação","الدوران","","","","","","","","","","","","",""
"Field_TrackedPosition","Position Offset","위치 오프셋","位置オフセット","位置偏移","位置偏移","Position Offset","Posizione offset","Positions-Offset","Compensación de la posición","Смещение положения","Compensação de Posição","معادلة الموضع","","","","","","","","","","","","",""
"Field_TrackedRotation","Rotation Offset","회전 오프셋","回転オフセット","旋轉偏移","旋转偏移","Rotation Offset","Rotazione offset","Drehungs-Offset","Compensación de la rotación","Смещение вращения","Compensação de Rotação","معادلة الدوران","","","","","","","","","","","","",""
"Field_FindClosestDevice","Take Closest","가장 가까운 받아","最も近い乗り","選取最近","选取最近","Prendre le plus proche","Trova il più vicino","Nächstes nehmen","Toma más cercana","Взять ближ.","Selecionar Mais Próximo","أخذ الأقرب","","","","","","","","","","","","",""
"TrackingDevice_Hmd","Headset","헤드셋","ヘッドセット","頭戴式顯示器","头盔","Casque","Visore","Headset","Auriculares","Гарнитура","Headset","سماعة الرأس","","","","","","","","","","","","",""
"TrackingDevice_Ctrl","Controller","컨트롤러","コントローラー","控制器","控制器","Contrôleur","Controller","Controller","Mando","Контроллер","Controle","جهاز التحكم","","","","","","","","","","","","",""
"TrackingDevice_Tracker","Tracker","트래커","トラッカー","感應器","跟踪器","Tracker","Dispositivo di rilevamento","Tracker","Tracker","Трекер","Rastreador","جهاز التتبع","","","","","","","","","","","","",""
"TrackingDevice_Base","Base","베이스","ベース","基地台","基座","Base","Base","Basis","Base","База","Base","القاعدة","","","","","","","","","","","","",""
"Suff_LeftController","(L)","(L)","（L）","左控制器","左控制器","(G)","(S)","(L)","(I)","(Л)","(E)","(يسار)","","","","","","","","","","","","",""
"Suff_RightController","(R)","(R)","（R）","右控制器","右控制器","(D)","(D)","(R)","(D)","(П)","(D)","(يمين)","","","","","","","","","","","","",""
"Field_PositionSmoothing","Position Smoothing","위치 스무딩","ポジションスムージング","位置平滑","位置平滑","Lissage Position","Facilitazione posizionamento","Positionsglättung","Alisar posición","Сглаживание положения","Suavização de Posição","تسوية الموضع","","","","","","","","","","","","",""
"Field_RotationSmoothing","Rotation Smoothing","회전 스무딩","回転スムージング","旋轉平滑","旋转平滑","Lissage Rotation","Facilitazione rotazione","Drehungsglättung","Alisar rotación","Сглаживание вращения","Suavização de Rotação","تسوية الدوران","","","","","","","","","","","","",""
"Title_FoVCalibration","FoV Calibration","FOV 교정","FoVのキャリブレーション","視野校準","视野校准","Calibration CdV","Calibrazione CV","Sichtfeld-Kalibrierung","Calibración del campo de visión","Калибровка поля зрения","Calibração de C. de Visão","معايرة مجال الرؤية","","","","","","","","","","","","",""
"FC_Instr_1","1) Print out marker pattern","1) 마커 패턴을 인쇄합니다","1）マーカーパターンを印刷します","＃1打印出圖案標記","＃1打印出图案标记","1) Imprimer le motif","1) Stampa modello marcatore","1) Markierungsmuster ausdrucken","1) Imprimir imagen con motivo de ajedrez","1) Распечатайте образец маркера","1) Exibir o Padrão do Marcador","1) طباعة نمط العلامة","","","","","","","","","","","","",""
"FC_Instr_2","2) Run calibration app, capturing 10 images of the pattern in different orientations with the SPACE key","2) 보정 앱을 실행한 후, SPACE 키를 이용하여 각각 다른 방향에서 패턴의 이미지를 10장 캡처합니다","2）キャリブレーションアプリを立ち上げ、別々の方向を向いた画像を10パターン、SPACE キーでキャプチャします","＃2運行校準應用程序，使用空格鍵捕獲不同方向的10張圖像","＃2运行校准应用程序，使用空格键捕获不同方向的10张图像","2) Lancer la calibration de l'appli, en capturant 10 images du motif dans différentes orientations avec la barre ESPACE","2) Avvia app per la calibrazione, cattura 10 immagini di modelli orientati diversamente con la barra spaziatrice","2) Kalibrierungsapp starten, mit Leertaste 10 Bilder des Musters in verschiedenen Orientierungen aufnehmen","2) Iniciar aplicación de calibración, capturando 10 imágenes del patrón en diferentes orientaciones mediante la barra espaciadora.","2) Запустите приложение для калибровки, сделайте 10 изображений образца в разных положениях при помощи клавиши ПРОБЕЛ","2) Inicie o aplicativo de calibragem, capture 10 imagens do padrão em diferentes orientações com a tecla ESPAÇO","2) شغل تطبيق المعايرة، بحيث يلتقط 10 صور للنمط في اتجاهات مختلفة باستخدام مفتاح SPACE","","","","","","","","","","","","",""
"FC_Instr_3","3) Your field of view value should now be filled in!","3) 이제 시야 값이 자동으로 채워졌을 것입니다!","3) 視野の値が入力されたはずです！","＃3現在請輸入你的視野值（角度）","＃3现在请输入你的视野值！","3) La valeur de votre champ de vision devrait maintenant être remplie !","3) Il valore del campo visivo è stato inserito!","3) Der Sichtfeldwert sollte jetzt eingetragen sein!","3) ¡Ya debería estar completado tu valor del campo visual!","3) Теперь значение поля зрения должно быть заполнено!","3) O valor do seu C. de Visão estará preenchido!","3) يجب الآن وضع قيمة لمجال الرؤية الخاص بك!","","","","","","","","","","","","",""
"FC_Pattern_Btn","Open PDF","PDF 열기","オープンPDF","打開PDF","打开PDF","Ouvrir PDF","Apri PDF","PDF öffnen","Abrir PDF","Открыть PDF","Abrir PDF","فتح PDF","","","","","","","","","","","","",""
"FC_App_Btn","Run App","실행 앱","ランのApp","運行應用程序","运行应用程序","Lancer appli","Avvia app","App starten","Abrir App","Запустить приложение","Iniciar aplicativo","شغل التطبيق","","","","","","","","","","","","",""
"Title_LightingMenu","Subject Lighting","조명","ライト","燈光","照明","Éclairage sujet","Illuminazione soggetto","Objektbeleuchtung","Iluminación del sujeto","Пользовательский свет","Iluminação do Objeto","إضاءة الأشياء","","","","","","","","","","","","",""
"Field_PlayerLightingFactor","Take Lighting","주변 조명","ライト調整","總燈光倍率","总照明倍率","Prise d'éclairage","Effetto illuminazione","Beleuchtungseinstellung","Iluminación de la toma","Действие подсветки","Usar Luz","أخذ الإضاءة","","","","","","","","","","","","",""
"Field_PlayerLightingBase","Base Amount","기본 조명량","基準量","基本燈光強度","基础照明强度","Montant de base","Quantità di base","Basismenge","Cantidad base","Основное количество","Valor Base","القيمة الأساسية","","","","","","","","","","","","",""
"Field_PlayerLightingPower","Light Power","조명 강도","ライトパワー","額外燈光強度","额外照明强度","Puissance d'éclairage","Potenza illuminazione","Lichtstärke","Potencia de luz","Уровень подсветки","Força da Luz","قوة الضوء","","","","","","","","","","","","",""
"Title_SceneDisplay","In-Scene Display","인 - 장면 표시","では、シーンの表示","場景內顯示","场景内显示","Affichage dans la scène","Visualizzazione scena","In-Szene-Anzeige","Visualización de la escena","Активный дисплей","Exibição na Cena","عرض المشهد","","","","","","","","","","","","",""
"Field_DisplayScale","Image Scale","이미지 크기","画像スケール","圖像尺度","图像尺度","Échelle image","Grandezza immagine","Abbildungsmaßstab","Escala de la imagen","Масштаб изображения","Escala da Imagem","مقياس الصورة","","","","","","","","","","","","",""
"Field_DisplayAlpha","Image Transparency","이미지 투명도","画像の透明性","圖像透明度","图像透明度","Transparence image","Trasparenza immagine","Bildtransparenz","Transparencia de la imagen","Прозрачность изображения","Transparência da Imagem","شفافية الصورة","","","","","","","","","","","","",""
"Title_Recording","Recording","녹음","録音","錄影","录像","Enregistrement","Registrazione","Aufnahme","Grabación","Запись","Gravação","تسجيل","","","","","","","","","","","","",""
"Field_StartTimelapseAuto","Begin capturing Snapshots on MixCast start","MixCast 시작 시 스냅샷 캡처 시작","MixCast の開始と共にスナップショットのキャプチャを開始","MixCast 啟動時開始快拍","MixCast启动后开始捕捉快照","Commencer à faire des instantanés au démarrage de MixCast","Avvia acquisizione di istantanee all'avvio di MixCast","Snapshots bei Start von MixCast erfassen","Comenzar a capturar instantáneas cuando se inicie MixCast.","Начать делать снимки при запуске MixCast","Começar Captura de fotos ao iniciar MixCast","ابدأ التقاط لقطات عند تشغيل MixCast","","","","","","","","","","","","",""
"Field_TimelapseInterval","Timelapse Snapshot Interval (s)","스냅샷 시간 간격(s)","低速度撮影スナップショットの間隔 (s)","連續快拍間隔 (s)","快照间隔时间(s)","Intervalle(s) Timelapse Instantané","Intervallo timelapse istantanee (s)","Spanne zwischen Snapshots (s)","Intervalo(s) entre instantáneas","Интервал создания снимков (сек.)","Intervalo de Tempo entre Fotos (s)","الفترات الفاصلة بين اللقطات (ثانية)","","","","","","","","","","","","",""
"Tooltip_TimelapseIntervalLow","Disk space will fill quickly with frequent Snapshots","디스크 공간이 자주 스냅 샷을 빠르게 채울 것","ディスク容量は、頻繁にスナップショットをすぐにいっぱいになります","硬碟空間將快速填滿快拍","磁盘空间将快速被快照填满","L'espace disque va vite se remplir avec des instantanés fréquents","Istantanee frequenti riempiranno lo spazio su disco rapidamente","Speicherplatz wird mit hoher Snapshotfrequenz schnell voll.","El espacio del disco se llenará rápidamente si se hacen instantáneas frecuentemente.","Чем больше снимков, тем быстрее заполнится диск","O espaço em disco encherá rapidamente com Fotos frequentes","سيتم ملء مساحة القرص بسرعة مع اللقطات المتكررة","","","","","","","","","","","","",""
"Action_OpenRecordingFolder","Open Recording Folder","녹화 폴더 열기","レコーディングフォルダを開く","打開錄影目錄","打开录像保存目录","Ouvrir Dossier d'enregistrement","Apri cartella registrazione","Aufnahmeordner öffnen","Abrir carpeta de grabaciones","Открыть папку для записи","Abrir pasta de Gravação","فتح مجلد التسجيل","","","","","","","","","","","","",""
"Title_About","About","정보","概要","關於","关于","À propos","Informazioni","Über","Info","Справка","Sobre","حول","","","","","","","","","","","","",""
"Action_GoToMixCastWebsite","For more information about MixCast and Blueprint Reality, check out our website","MixCast 및 청사진 현실에 대한 자세한 내용은 저희 웹 사이트를 체크 아웃","MixCastとBlueprint Realityについて、詳しくは当社のWebサイトをご覧ください","有關MixCast和Blueprint Reality的更多信息，請訪問我們的網站","有关MixCast和Blueprint Reality的更多信息，请访问我们的网站","Pour plus d'informations sur MixCast et Blueprint Reality, visitez notre site web","Per ulteriori informazioni su MixCast e Blueprint Reality, visita il nostro sito","Besuche unsere Webseite, um mehr über MixCast und Blueprint Reality zu erfahren","Para más información sobre MixCast y Blueprint Reality echa un ojo a nuestra web.","Подробнее о MixCast и виртуальной реальности Blueprint можно узнать на нашем сайте","Para mais informações sobre MixCast e Blueprint Reality, veja o nosso site","لمزيد من المعلومات حول MixCast و Blueprint Reality، يرجى مراجعة موقعنا على الإنترنت","","","","","","","","","","","","",""
